card_identifier;name;rarity;magic_ink_color;got_normal;got_foil
36;"Adeptes de Chernabog";UNCOMMON;AMETHYST;2;0
37;Diablo;COMMON;AMETHYST;0;0
38;Génie;SUPER;AMETHYST;0;0
39;Hydros;UNCOMMON;AMETHYST;2;0
40;Iago;COMMON;AMETHYST;2;0
41;Jafar;UNCOMMON;AMETHYST;3;0
42;Jafar;LEGENDARY;AMETHYST;1;1
43;"Lena de Sortilège";COMMON;AMETHYST;2;0
44;"Balais Magiques";UNCOMMON;AMETHYST;1;0
45;"Balais Magiques";COMMON;AMETHYST;1;1
46;"Balais Magiques";COMMON;AMETHYST;2;0
47;"Tapis Volant";COMMON;AMETHYST;0;0
48;"Miss Tick";COMMON;AMETHYST;4;0
49;"Miss Tick";SUPER;AMETHYST;1;0
50;"Miss Tick";UNCOMMON;AMETHYST;0;1
51;Maléfique;LEGENDARY;AMETHYST;0;0
52;"Mama Odie";UNCOMMON;AMETHYST;2;0
53;Pua;COMMON;AMETHYST;4;0
54;Rafiki;RARE;AMETHYST;1;0
55;Stratos;RARE;AMETHYST;1;0
56;"L'oiseau de Feu";COMMON;AMETHYST;3;0
57;"La Reine";COMMON;AMETHYST;2;0
58;"Le Gardien du Trésor";RARE;AMETHYST;1;0
59;Ursula;RARE;AMETHYST;2;0
60;"Offrir un Don";COMMON;AMETHYST;2;0
61;"Il M'appelle";UNCOMMON;AMETHYST;0;0
62;"Effort Désespéré";UNCOMMON;AMETHYST;2;0
63;"Je Complète ma Collection";RARE;AMETHYST;0;1
64;"La Lampe";RARE;AMETHYST;0;0
65;"Le Chapeau de Sorcier";RARE;AMETHYST;0;0
66;"Montagne Interdite";COMMON;AMETHYST;3;0
67;"Château de la Reine";RARE;AMETHYST;0;0
68;"La Tour du Sorcier";UNCOMMON;AMETHYST;0;0
69;"Le Frisé";COMMON;EMERALD;0;1
70;"Ondins Ensorcelés";RARE;EMERALD;0;0
71;"Don Carnage";COMMON;EMERALD;2;0
72;Flotsam;COMMON;EMERALD;4;0
73;"Frère Tuck";UNCOMMON;EMERALD;1;0
74;"Helga Sinclair";SUPER;EMERALD;0;0
75;"Helga Sinclair";RARE;EMERALD;1;0
76;Jetsam;COMMON;EMERALD;1;1
77;Kit;UNCOMMON;EMERALD;2;0
78;"Lyle Tiberius Rourke";SUPER;EMERALD;0;0
79;"Milo Thatch";COMMON;EMERALD;4;0
80;"Milo Thatch";LEGENDARY;EMERALD;1;0
81;Morph;RARE;EMERALD;1;0
82;"Peter Pan";RARE;EMERALD;0;0
83;"Prince Jean";UNCOMMON;EMERALD;1;0
84;"Robin des Bois";RARE;EMERALD;2;0
85;Shenzi;SUPER;EMERALD;1;1
86;"Triste Sire";COMMON;EMERALD;0;0
87;Bobby;COMMON;EMERALD;4;0
88;"Monsieur Starkey";UNCOMMON;EMERALD;2;0
89;Stitch;RARE;EMERALD;0;0
90;Ursula;UNCOMMON;EMERALD;2;0
91;Ursula;LEGENDARY;EMERALD;0;0
92;Turbo;UNCOMMON;EMERALD;0;0
93;Zazu;COMMON;EMERALD;2;0
94;"A Touché mon Cœuuuuur…";UNCOMMON;EMERALD;1;0
95;"Je Prends le Chemin";COMMON;EMERALD;0;0
96;"Crois-Moi J'ai Vu Pire";COMMON;EMERALD;3;0
97;Aéro-Surf;COMMON;EMERALD;3;0
98;"Arc de Robin";UNCOMMON;EMERALD;1;0
99;"Fiole de Lumière D'étoile";RARE;EMERALD;3;0
100;"Le Manoir D'enfer";COMMON;EMERALD;2;0
101;"Croc du Dragon";RARE;EMERALD;0;0
102;"Palais de Kuzco";UNCOMMON;EMERALD;2;0
103;Ariel;SUPER;RUBY;0;0
104;"Billy Bones";COMMON;RUBY;2;0
105;"Capitaine Crochet";RARE;RUBY;2;0
106;"Della Duck";COMMON;RUBY;2;0
107;Heihei;UNCOMMON;RUBY;2;0
108;L'hydre;LEGENDARY;RUBY;0;0
109;"Jim Hawkins";LEGENDARY;RUBY;0;0
110;"Jim Hawkins";COMMON;RUBY;0;1
111;Kakamora;COMMON;RUBY;0;0
112;"Madame Médusa";SUPER;RUBY;1;1
113;Maui;UNCOMMON;RUBY;1;0
114;Maui;RARE;RUBY;1;1
115;"Milo Thatch";COMMON;RUBY;3;0
116;Vaiana;RARE;RUBY;0;0
117;Vaiana;COMMON;RUBY;1;0
118;Niquedouille;COMMON;RUBY;5;0
119;"Peter Pan";COMMON;RUBY;0;0
120;"Peter Pan";RARE;RUBY;2;0
121;"Prince Eric";SUPER;RUBY;1;0
122;Scroop;UNCOMMON;RUBY;0;0
123;Simba;RARE;RUBY;1;0
124;"La Plume";UNCOMMON;RUBY;4;0
125;Stitch;COMMON;RUBY;4;1
126;Pendard;UNCOMMON;RUBY;3;0
127;Zaza;COMMON;RUBY;2;0
128;"Bombardement en Piqué !";UNCOMMON;RUBY;2;0
129;"Moi, J'ai un Rêve";UNCOMMON;RUBY;0;0
130;"Debout ! Tout de Suite !";RARE;RUBY;0;0
131;Voyage;COMMON;RUBY;4;0
132;"L'hameçon de Maui";RARE;RUBY;1;0
133;"Talisman Sumérien";UNCOMMON;RUBY;3;1
134;Agrabah;COMMON;RUBY;1;1
135;"Jolly Roger";UNCOMMON;RUBY;0;0
136;"Rls Héritage";RARE;RUBY;0;0
137;"Audrey Ramirez";RARE;SAPPHIRE;2;0
138;"Capitaine Amélia";COMMON;SAPPHIRE;3;0
139;Fifi;UNCOMMON;SAPPHIRE;1;0
140;"Archibald Gripsou";UNCOMMON;SAPPHIRE;0;0
141;Génie;UNCOMMON;SAPPHIRE;2;0
142;"Grand-Mère Tala";COMMON;SAPPHIRE;2;0
143;"Grand-Mère Tala";LEGENDARY;SAPPHIRE;1;0
144;"Géo Trouvetou";RARE;SAPPHIRE;0;0
145;Riri;RARE;SAPPHIRE;2;0
146;"Roi Louie";COMMON;SAPPHIRE;2;0
147;Kit;UNCOMMON;SAPPHIRE;2;0
148;Kit;COMMON;SAPPHIRE;4;0
149;Loulou;COMMON;SAPPHIRE;1;0
150;"Belle Marianne";COMMON;SAPPHIRE;0;1
151;"Mama Odie";RARE;SAPPHIRE;1;0
152;Pluto;COMMON;SAPPHIRE;0;0
153;Rufus;COMMON;SAPPHIRE;4;0
154;"Balthazar Picsou";SUPER;SAPPHIRE;0;0
155;"Balthazar Picsou";UNCOMMON;SAPPHIRE;2;0
156;"La Reine";UNCOMMON;SAPPHIRE;1;0
157;"La Fée Clochette";SUPER;SAPPHIRE;0;0
158;"Wendy Darling";SUPER;SAPPHIRE;1;0
159;Distraction;COMMON;SAPPHIRE;4;0
160;"Je Suis ton Meilleur Ami";RARE;SAPPHIRE;0;0
161;"Le Bleu Lumière";UNCOMMON;SAPPHIRE;0;0
162;Réparation;COMMON;SAPPHIRE;2;0
163;"Gyroscope Lumineux";RARE;SAPPHIRE;0;0
164;"Le Cœur de Te Fiti";RARE;SAPPHIRE;0;0
165;"Sou Fétiche";LEGENDARY;SAPPHIRE;0;0
166;"Haut-De-Forme de Picsou";UNCOMMON;SAPPHIRE;1;0
167;"Porte du Coffre";COMMON;SAPPHIRE;4;0
168;"La Maison de Belle";RARE;SAPPHIRE;0;0
169;"Le Manoir de Picsou";COMMON;SAPPHIRE;0;0
170;Motunui;UNCOMMON;SAPPHIRE;0;0
171;Tui;COMMON;STEEL;2;1
172;Bourriquet;COMMON;STEEL;3;0
173;"Gustave le Géant";RARE;STEEL;0;0
174;Hadès;RARE;STEEL;0;0
175;"Helga Sinclair";COMMON;STEEL;3;0
176;"John Silver";RARE;STEEL;1;0
177;Kida;COMMON;STEEL;1;0
178;"Petit Jean";SUPER;STEEL;1;0
179;"Petit Jean";UNCOMMON;STEEL;4;0
180;Lythos;UNCOMMON;STEEL;1;0
181;"Mickey Mouse";COMMON;STEEL;4;0
182;"Mickey Mouse";LEGENDARY;STEEL;0;0
183;Minnie;COMMON;STEEL;0;1
184;"Monsieur Mouche";UNCOMMON;STEEL;2;0
185;Mufasa;RARE;STEEL;1;0
186;Nala;UNCOMMON;STEEL;0;0
187;Pyros;RARE;STEEL;0;1
188;Razoul;COMMON;STEEL;0;0
189;"Robin des Bois";COMMON;STEEL;2;0
190;"Robin des Bois";LEGENDARY;STEEL;1;0
191;"Shérif de Nottingham";SUPER;STEEL;1;0
192;Simba;SUPER;STEEL;0;0
193;Simba;UNCOMMON;STEEL;1;0
194;"Gulliver Glas";UNCOMMON;STEEL;2;0
195;"Quand Soudain Survint Zeus";RARE;STEEL;0;0
196;"Ba-Boum !";COMMON;STEEL;2;0
197;"L'olympe, ce Serait Pas Plutôt par Là ?";COMMON;STEEL;2;0
198;"Libérer les Titans";UNCOMMON;STEEL;1;0
199;"Rapière du Capitaine Crochet";UNCOMMON;STEEL;1;1
200;"Le Costume de Robotik";COMMON;STEEL;1;0
201;"Carte de la Planète au Trésor";RARE;STEEL;0;0
202;"Île D'exil de Maui";RARE;STEEL;0;0
203;Nottingham;COMMON;STEEL;3;0
204;"Le Bayou";UNCOMMON;STEEL;1;0
205;Chernabog;ENCHANTED;AMBER;0;0
206;Kida;ENCHANTED;AMBER;0;0
207;"La Terre des Lions";ENCHANTED;AMBER;0;0
208;Jafar;ENCHANTED;AMETHYST;0;0
209;Maléfique;ENCHANTED;AMETHYST;0;0
210;"Le Chapeau de Sorcier";ENCHANTED;AMETHYST;0;0
211;Morph;ENCHANTED;EMERALD;0;0
212;Ursula;ENCHANTED;EMERALD;0;0
213;"Palais de Kuzco";ENCHANTED;EMERALD;0;0
214;"Capitaine Crochet";ENCHANTED;RUBY;0;0
215;"Peter Pan";ENCHANTED;RUBY;0;0
216;"Rls Héritage";ENCHANTED;RUBY;0;0
217;"Grand-Mère Tala";ENCHANTED;SAPPHIRE;0;0
218;"Balthazar Picsou";ENCHANTED;SAPPHIRE;0;0
219;"La Maison de Belle";ENCHANTED;SAPPHIRE;0;0
220;"Mickey Mouse";ENCHANTED;STEEL;0;0
221;"Robin des Bois";ENCHANTED;STEEL;0;0
222;"Quand Soudain Survint Zeus";ENCHANTED;STEEL;0;0
